Key (ST_Code),ST Code / Abbr,Product Code,Product Name,Category,Loai Hang,KFM Qty (SL Chuyen),ABA Qty (SL Giao),Diff (Lech),Loai Chenh Lech
A199_10610,A199,"=""10610""",ZESPRI - HỘP KIWI VÀNG CHÍN 4 QUẢ,Meat,Fix weight,11,7,4,Đã tạo phiếu KFM (Lệch số lượng)
A199_11545,A199,"=""11545""",TỎI HẢI DƯƠNG BÓC VỎ 100G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A199_11547,A199,"=""11547""",HÀNH TÍM XAY 50G,Meat,Fix weight,4,3,1,Đã tạo phiếu KFM (Lệch số lượng)
A199_11548,A199,"=""11548""",ỚT XAY 50G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A199_11549,A199,"=""11549""",SẢ XAY 50G,Meat,Fix weight,6,4,2,Đã tạo phiếu KFM (Lệch số lượng)
A199_11550,A199,"=""11550""",TỎI HẢI DƯƠNG XAY 50G,Meat,Fix weight,7,3,4,Đã tạo phiếu KFM (Lệch số lượng)
A199_11702,A199,"=""11702""",CHERRY MỸ HỘP 300G,Meat,Fix weight,8,4,4,Đã tạo phiếu KFM (Lệch số lượng)
A199_11763,A199,"=""11763""",QUÝT ÚC HỘP 4 QUẢ,Meat,Fix weight,5,3,2,Đã tạo phiếu KFM (Lệch số lượng)
A199_8936176751021,A199,"=""8936176751021""",TNT - CHÈ BẮP 140G,Meat,Fix weight,3,1,2,Đã tạo phiếu KFM (Lệch số lượng)
A199_8936076279328,A199,"=""8936076279328""",SAVOURE - BÁNH SU KEM 150G,Meat,Fix weight,3,2,1,Đã tạo phiếu KFM (Lệch số lượng)
A199_8936076278758,A199,"=""8936076278758""",SAVOURE - BÁNH SU KEM SỮA CÀ PHÊ MUỐI 75G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A199_8936049693908,A199,"=""8936049693908""",HASFARM - HỖN HỢP XÀ LÁCH BABY VÀ ROCKET 100G ( ĐÃ RỬA SẠCH),Meat,Fix weight,6,4,2,Đã tạo phiếu KFM (Lệch số lượng)
A199_8938505512204,A199,"=""8938505512204""",SENTA - KHOAI SỌ GỌT VỎ 400G,Meat,Fix weight,3,1,2,Đã tạo phiếu KFM (Lệch số lượng)
A199_8936176751007,A199,"=""8936176751007""",TNT - CHÈ BƯỞI 140G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A199_8936176750017,A199,"=""8936176750017""",TNT - RAU CÂU NƯỚC DỪA 140G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A199_SP001575,A199,"=""SP001575""",BBANG HOUSE - BÁNH TIRAMISU 150G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A199_8938541439817,A199,"=""8938541439817""",TÁO TÚI 1.5KG,Meat,Fix weight,6,1,5,Đã tạo phiếu KFM (Lệch số lượng)
A199_8936219620192,A199,"=""8936219620192""",SAMHO - SUMIRI CÀNG CUA HOÀNG ĐẾ 70G,Meat,Fix weight,10,6,4,Đã tạo phiếu KFM (Lệch số lượng)
A199_8934717600784,A199,"=""8934717600784""",CJ CẦU TRE - XÚC XÍCH ỨC GÀ COCKTAIL PHÔ MAI 200G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A199_8938532089007,A199,"=""8938532089007""",VĨ LÂM - CẢI SẬY CHUA 500G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A199_8938531579028,A199,"=""8938531579028""",DELIFRES - SỮA TƯƠI THANH TRÙNG KHÔNG ĐƯỜNG CHAI 1.8L,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A199_3073781154351,A199,"=""3073781154351""",CON BÒ CƯỜI - PHÔ MAI CON BÒ CƯỜI 8M 112G,Meat,Fix weight,8,4,4,Đã tạo phiếu KFM (Lệch số lượng)
A199_8936009793174,A199,"=""8936009793174""",MORINAGA - SỮA CHUA KHÔNG BÉO NHA ĐAM 100G,Meat,Fix weight,8,4,4,Đã tạo phiếu KFM (Lệch số lượng)
A159_10094,A159,"=""10094""",BLUEBERRY MỸ HỘP 125G,Meat,Fix weight,8,4,4,Đã tạo phiếu KFM (Lệch số lượng)
A159_11109,A159,"=""11109""",HỖN HỢP BÔNG CẢI SƠ CHẾ 250G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A159_11437,A159,"=""11437""",VỈ BÍ ĐỎ CẮT KHÚC 400G,Meat,Fix weight,6,2,4,Đã tạo phiếu KFM (Lệch số lượng)
A159_11545,A159,"=""11545""",TỎI HẢI DƯƠNG BÓC VỎ 100G,Meat,Fix weight,5,2,3,Đã tạo phiếu KFM (Lệch số lượng)
A159_11546,A159,"=""11546""",HÀNH TÍM BÓC VỎ 100G,Meat,Fix weight,5,4,1,Đã tạo phiếu KFM (Lệch số lượng)
A159_11547,A159,"=""11547""",HÀNH TÍM XAY 50G,Meat,Fix weight,6,1,5,Đã tạo phiếu KFM (Lệch số lượng)
A159_11549,A159,"=""11549""",SẢ XAY 50G,Meat,Fix weight,8,3,5,Đã tạo phiếu KFM (Lệch số lượng)
A159_11550,A159,"=""11550""",TỎI HẢI DƯƠNG XAY 50G,Meat,Fix weight,6,1,5,Đã tạo phiếu KFM (Lệch số lượng)
A159_11702,A159,"=""11702""",CHERRY MỸ HỘP 300G,Meat,Fix weight,6,2,4,Đã tạo phiếu KFM (Lệch số lượng)
A159_8936176751007,A159,"=""8936176751007""",TNT - CHÈ BƯỞI 140G,Meat,Fix weight,4,1,3,Đã tạo phiếu KFM (Lệch số lượng)
A159_8936176751175,A159,"=""8936176751175""",TNT - CHÈ DỪA NON KIỂU THÁI 140G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A159_8936176751182,A159,"=""8936176751182""",TNT - CHÈ BÀ BA 140G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A159_8936110051361,A159,"=""8936110051361""",SWEETHOME - CHÈ ĐẬU TRẮNG CỐT DỪA 140G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A159_8936076279328,A159,"=""8936076279328""",SAVOURE - BÁNH SU KEM 150G,Meat,Fix weight,3,2,1,Đã tạo phiếu KFM (Lệch số lượng)
A159_8935007117135,A159,"=""8935007117135""",LOTHAMILK - SỮA THANH TRÙNG CÓ ĐƯỜNG CHAI 473ML,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A159_8935007117098,A159,"=""8935007117098""",LOTHAMILK - SỮA THANH TRÙNG CÓ ĐƯỜNG 857ML,Meat,Fix weight,8,6,2,Đã tạo phiếu KFM (Lệch số lượng)
A159_8935007101059,A159,"=""8935007101059""",LOTHAMILK - SỮA THANH TRÙNG KHÔNG ĐƯỜNG 946ML,Meat,Fix weight,5,3,2,Đã tạo phiếu KFM (Lệch số lượng)
A159_8936204030586,A159,"=""8936204030586""",AN LẠC- ĐẬU TƯƠI HỖN HỢP 100G,Meat,Fix weight,5,2,3,Đã tạo phiếu KFM (Lệch số lượng)
A159_8938505512204,A159,"=""8938505512204""",SENTA - KHOAI SỌ GỌT VỎ 400G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A159_8938509645076,A159,"=""8938509645076""",ZESPRI - HỘP KIWI XANH 4 QUẢ,Meat,Fix weight,6,2,4,Đã tạo phiếu KFM (Lệch số lượng)
A159_8938541439817,A159,"=""8938541439817""",TÁO TÚI 1.5KG,Meat,Fix weight,5,1,4,Đã tạo phiếu KFM (Lệch số lượng)
A159_8936176751014,A159,"=""8936176751014""",TNT - CHÈ MÔN 140G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A159_8936176751021,A159,"=""8936176751021""",TNT - CHÈ BẮP 140G,Meat,Fix weight,3,1,2,Đã tạo phiếu KFM (Lệch số lượng)
A159_8936176750017,A159,"=""8936176750017""",TNT - RAU CÂU NƯỚC DỪA 140G,Meat,Fix weight,3,1,2,Đã tạo phiếu KFM (Lệch số lượng)
A159_SP001576,A159,"=""SP001576""",BBANG HOUSE - BÁNH SU KEM 140G,Meat,Fix weight,3,1,2,Đã tạo phiếu KFM (Lệch số lượng)
A159_SP001578,A159,"=""SP001578""",BBANG HOUSE - BÁNH KEM CỐT SOCOLA 120G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A159_8936110050494,A159,"=""8936110050494""",SWEETHOME - RAU CÂU FLAN SƠN THUỶ 145G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A159_8936049693908,A159,"=""8936049693908""",HASFARM - HỖN HỢP XÀ LÁCH BABY VÀ ROCKET 100G ( ĐÃ RỬA SẠCH),Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A159_8936219620192,A159,"=""8936219620192""",SAMHO - SUMIRI CÀNG CUA HOÀNG ĐẾ 70G,Meat,Fix weight,6,4,2,Đã tạo phiếu KFM (Lệch số lượng)
A159_8938500844027,A159,"=""8938500844027""",VỊ NGUYÊN - ĐẬU HŨ TA 280G,Meat,Fix weight,8,4,4,Đã tạo phiếu KFM (Lệch số lượng)
A159_8938508547562,A159,"=""8938508547562""",BIBIGO - KIM CHI CẢI THẢO CẮT LÁT 100G,Meat,Fix weight,12,8,4,Đã tạo phiếu KFM (Lệch số lượng)
A159_8938500844157,A159,"=""8938500844157""",VỊ NGUYÊN - ĐẬU HŨ CHIÊN LƯỚT VÁN 300G,Meat,Fix weight,6,4,2,Đã tạo phiếu KFM (Lệch số lượng)
A159_9415262979116,A159,"=""9415262979116""",ANCHOR - KEM SỮA 200ML,Meat,Fix weight,6,4,2,Đã tạo phiếu KFM (Lệch số lượng)
A159_9300658228537,A159,"=""9300658228537""",FARMERS UNION - SỮA CHUA KIỂU HY LẠP NGUYÊN CHẤT 1KG,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_10216,CLD,"=""10216""",NẤM MỠ NÂU 150G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_10373,CLD,"=""10373""",NHO MUSCAT HÀN QUỐC 450G,Meat,Fix weight,8,2,6,Đã tạo phiếu KFM (Lệch số lượng)
CLD_10606,CLD,"=""10606""",HỒNG TÁO HỘP 500G,Meat,Fix weight,23,3,20,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11039,CLD,"=""11039""",YOSHIMOTO - NẤM MỠ MIX PREMIUM GLOBALG.A.P 200G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11106,CLD,"=""11106""",BÔNG CẢI XANH SƠ CHẾ 250G,Meat,Fix weight,9,7,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11109,CLD,"=""11109""",HỖN HỢP BÔNG CẢI SƠ CHẾ 250G,Meat,Fix weight,8,2,6,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11122,CLD,"=""11122""",THƠM TRÁI CẮT SẴN 350G,Meat,Fix weight,5,2,3,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11438,CLD,"=""11438""",VỈ KHỔ QUA CẮT LÁT 300G,Meat,Fix weight,6,5,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11498,CLD,"=""11498""",HỖN HỢP BÔNG CẢI VÀ CÀ RỐT 300G,Meat,Fix weight,11,4,7,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11545,CLD,"=""11545""",TỎI HẢI DƯƠNG BÓC VỎ 100G,Meat,Fix weight,3,1,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11546,CLD,"=""11546""",HÀNH TÍM BÓC VỎ 100G,Meat,Fix weight,6,2,4,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11547,CLD,"=""11547""",HÀNH TÍM XAY 50G,Meat,Fix weight,6,2,4,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11548,CLD,"=""11548""",ỚT XAY 50G,Meat,Fix weight,8,3,5,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11549,CLD,"=""11549""",SẢ XAY 50G,Meat,Fix weight,6,3,3,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11550,CLD,"=""11550""",TỎI HẢI DƯƠNG XAY 50G,Meat,Fix weight,31,11,20,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11566,CLD,"=""11566""",BẮP CHUỐI BÀO 200G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11567,CLD,"=""11567""",RAU MUỐNG BÀO 200G,Meat,Fix weight,3,1,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11589,CLD,"=""11589""",MÍT GIỐNG THÁI LỘT SẴN HỘP 350G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11591,CLD,"=""11591""",MÍT ĐỎ LỘT SẴN HỘP 350G,Meat,Fix weight,3,1,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11681,CLD,"=""11681""","HỖN HỢP MĂNG TÂY, BẮP NON, CÀ RỐT 300G",Meat,Fix weight,4,1,3,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11697,CLD,"=""11697""",VỈ CANH KHOAI MỠ 300G,Meat,Fix weight,17,3,14,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11702,CLD,"=""11702""",CHERRY MỸ HỘP 300G,Meat,Fix weight,25,15,10,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11742,CLD,"=""11742""",MÍA TƯƠI CẮT KHÚC 500G,Meat,Fix weight,38,11,27,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11749,CLD,"=""11749""",TÁO GALA NEW ZEALAND TÚI 950G UP,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11755,CLD,"=""11755""",TÁO BRAEBURN NEWZEALAND TÚI 1.5KG,Meat,Fix weight,12,1,11,Đã tạo phiếu KFM (Lệch số lượng)
CLD_11757,CLD,"=""11757""",NẤM MỠ TRẮNG 150G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_40338729,CLD,"=""40338729""",MONTE - VÁNG SỮA CHOCOLATE LỐC 4 X 55G,Meat,Fix weight,6,4,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_40338736,CLD,"=""40338736""",MONTE - VÁNG SỮA VANI LỐC 4 X 55G,Meat,Fix weight,6,4,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936176751007,CLD,"=""8936176751007""",TNT - CHÈ BƯỞI 140G,Meat,Fix weight,9,6,3,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936176751014,CLD,"=""8936176751014""",TNT - CHÈ MÔN 140G,Meat,Fix weight,6,4,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936176750017,CLD,"=""8936176750017""",TNT - RAU CÂU NƯỚC DỪA 140G,Meat,Fix weight,5,3,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936176751090,CLD,"=""8936176751090""",TNT - CHUỐI RIM CỐT DỪA 140G,Meat,Fix weight,5,2,3,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936176751175,CLD,"=""8936176751175""",TNT - CHÈ DỪA NON KIỂU THÁI 140G,Meat,Fix weight,7,3,4,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936110050494,CLD,"=""8936110050494""",SWEETHOME - RAU CÂU FLAN SƠN THUỶ 145G,Meat,Fix weight,15,7,8,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936110050395,CLD,"=""8936110050395""",SWEETHOME - BÁNH CREPE SỮA TƯƠI 90G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936110050203,CLD,"=""8936110050203""",SWEETHOME - CREPE PUDDING VỊ MATCHA 100G,Meat,Fix weight,5,3,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936076271957,CLD,"=""8936076271957""",SAVOURE - BÁNH ỐC KEM 70G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936076279328,CLD,"=""8936076279328""",SAVOURE - BÁNH SU KEM 150G,Meat,Fix weight,32,17,15,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936076278765,CLD,"=""8936076278765""",SAVOURE - BÁNH SU KEM SỮA CHANH DÂY 75G,Meat,Fix weight,6,3,3,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936076278758,CLD,"=""8936076278758""",SAVOURE - BÁNH SU KEM SỮA CÀ PHÊ MUỐI 75G,Meat,Fix weight,7,2,5,Đã tạo phiếu KFM (Lệch số lượng)
CLD_SP001575,CLD,"=""SP001575""",BBANG HOUSE - BÁNH TIRAMISU 150G,Meat,Fix weight,4,3,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_SP001576,CLD,"=""SP001576""",BBANG HOUSE - BÁNH SU KEM 140G,Meat,Fix weight,7,3,4,Đã tạo phiếu KFM (Lệch số lượng)
CLD_SP001577,CLD,"=""SP001577""",BBANG HOUSE - BÁNH CUSTARD 150G,Meat,Fix weight,6,3,3,Đã tạo phiếu KFM (Lệch số lượng)
CLD_SP001578,CLD,"=""SP001578""",BBANG HOUSE - BÁNH KEM CỐT SOCOLA 120G,Meat,Fix weight,7,2,5,Đã tạo phiếu KFM (Lệch số lượng)
CLD_SP001595,CLD,"=""SP001595""",BBANG HOUSE - BÁNH ITALIA CARAMEL 100G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936049693397,CLD,"=""8936049693397""",SALAD HỖN HỢP RAU XANH GLOBAL GAP 150G ( ĐÃ RỬA SẠCH),Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936049694424,CLD,"=""8936049694424""",HỖN HỢP XÀ LÁCH BABY VÀ RAU THƠM 75G (ĐÃ RỬA SẠCH),Meat,Fix weight,5,2,3,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936049694431,CLD,"=""8936049694431""",HỖN HỢP XÀ LÁCH RADICHIO VÀ ROCKET 100G (ĐÃ RỬA SẠCH),Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936049694271,CLD,"=""8936049694271""",HỖN HỢP BẮP CẢI TRẮNG VÀ CÀ RỐT THÁI SỢI (ĐÃ RỬA SẠCH) 200G,Meat,Fix weight,4,3,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8935007117135,CLD,"=""8935007117135""",LOTHAMILK - SỮA THANH TRÙNG CÓ ĐƯỜNG CHAI 473ML,Meat,Fix weight,6,4,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8935007117098,CLD,"=""8935007117098""",LOTHAMILK - SỮA THANH TRÙNG CÓ ĐƯỜNG 857ML,Meat,Fix weight,6,4,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8935007101134,CLD,"=""8935007101134""",LOTHAMILK - SỮA THANH TRÙNG KHÔNG ĐƯỜNG CHAI 473ML,Meat,Fix weight,8,6,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8935007101103,CLD,"=""8935007101103""",LOTHAMILK - SỮA THANH TRÙNG KHÔNG ĐƯỜNG CHAI 1760ML,Meat,Fix weight,8,6,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8885020330014,CLD,"=""8885020330014""",DALAT HILL-XÀ LÁCH HỖN HỢP SPRING MIX 100G,Meat,Fix weight,3,2,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936204030586,CLD,"=""8936204030586""",AN LẠC- ĐẬU TƯƠI HỖN HỢP 100G,Meat,Fix weight,3,2,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936204030265,CLD,"=""8936204030265""",AN LẠC - NGUYÊN LIỆU TƯƠI KHO TIÊU XANH 60G,Meat,Fix weight,3,2,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8938505512167,CLD,"=""8938505512167""",SENTA - CỦ NĂNG TƯƠI GỌT VỎ 200G,Meat,Fix weight,5,1,4,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8938505512044,CLD,"=""8938505512044""",SENTA - CỦ SEN TƯƠI CẮT LÁT 250G,Meat,Fix weight,7,1,6,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8938505512211,CLD,"=""8938505512211""",SENTA - KHOAI MÔN GỌT VỎ 400G,Meat,Fix weight,3,1,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8938505512204,CLD,"=""8938505512204""",SENTA - KHOAI SỌ GỌT VỎ 400G,Meat,Fix weight,4,3,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8938505512402,CLD,"=""8938505512402""",SENTA - KHOAI MỠ GỌT VỎ 400G,Meat,Fix weight,6,4,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8938509645076,CLD,"=""8938509645076""",ZESPRI - HỘP KIWI XANH 4 QUẢ,Meat,Fix weight,10,9,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936052003923,CLD,"=""8936052003923""",TÁO ENVY NEW ZEALAND TÚI 1KG,Meat,Fix weight,7,6,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936176751021,CLD,"=""8936176751021""",TNT - CHÈ BẮP 140G,Meat,Fix weight,3,1,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936183060840,CLD,"=""8936183060840""",GFU - KHOAI LANG HẤP TAM SẮC 200G,Meat,Fix weight,3,1,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936110051361,CLD,"=""8936110051361""",SWEETHOME - CHÈ ĐẬU TRẮNG CỐT DỪA 140G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936243700174,CLD,"=""8936243700174""",HẢI ĐĂNG - CƠM NGHÊU THỊT XÀO CAY 282G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936243700013,CLD,"=""8936243700013""",HẢI ĐĂNG - CƠM NẮM CÁ HỒI XỐT TƯƠNG NHẬT 110G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936243700099,CLD,"=""8936243700099""",HẢI ĐĂNG - CƠM NẮM THANH CUA 110G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936243700037,CLD,"=""8936243700037""",HẢI ĐĂNG - SANDWICH CÁ NGỪ BẮP VÀ TRỨNG 91G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8935360200086,CLD,"=""8935360200086""",NHO XANH MỸ HỘP 450G,Meat,Fix weight,9,6,3,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8935360200123,CLD,"=""8935360200123""",NHO MIX 2 MÀU XANH - ĐEN MỸ HỘP 450G,Meat,Fix weight,12,7,5,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936219620192,CLD,"=""8936219620192""",SAMHO - SUMIRI CÀNG CUA HOÀNG ĐẾ 70G,Meat,Fix weight,24,2,22,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936000751012,CLD,"=""8936000751012""",ICHIBAN - SỮA ĐẬU NÀNH 350ML,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8938500844027,CLD,"=""8938500844027""",VỊ NGUYÊN - ĐẬU HŨ TA 280G,Meat,Fix weight,40,24,16,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8938500844102,CLD,"=""8938500844102""",VỊ NGUYÊN - ĐẬU HŨ NON 280G,Meat,Fix weight,22,10,12,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936034876767,CLD,"=""8936034876767""",PONNIE - XÚC XÍCH VÒNG PHÔ MAI 200G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8938508547562,CLD,"=""8938508547562""",BIBIGO - KIM CHI CẢI THẢO CẮT LÁT 100G,Meat,Fix weight,14,6,8,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936000750220,CLD,"=""8936000750220""",ICHIBAN - ĐẬU HŨ TRỨNG ICHI - SAKURA 160G,Meat,Fix weight,12,6,6,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8938500844157,CLD,"=""8938500844157""",VỊ NGUYÊN - ĐẬU HŨ CHIÊN LƯỚT VÁN 300G,Meat,Fix weight,10,4,6,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936000750206,CLD,"=""8936000750206""",ICHIBAN - ĐẬU HŨ TRẮNG ICHI - SAKURA 240G,Meat,Fix weight,16,6,10,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936034876811,CLD,"=""8936034876811""",PONNIE - XÚC XÍCH XÔNG KHÓI 450G,Meat,Fix weight,8,4,4,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936146440467,CLD,"=""8936146440467""",G - CHẢ LỤA BÌ ỚT XIÊM XANH 500G,Meat,Fix weight,6,2,4,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936199380345,CLD,"=""8936199380345""",FAMILY MEALS - BÁNH GIÒ NHÂN THỊT TRỨNG MUỐI 175G,Meat,Fix weight,8,2,6,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936146446742,CLD,"=""8936146446742""",G - GIÒ THỦ 200G,Meat,Fix weight,8,4,4,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8938532089007,CLD,"=""8938532089007""",VĨ LÂM - CẢI SẬY CHUA 500G,Meat,Fix weight,20,8,12,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8938502525726,CLD,"=""8938502525726""",THỌ PHÁT - BÁNH GIÒ NHÂN THỊT 150G,Meat,Fix weight,16,6,10,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936146446728,CLD,"=""8936146446728""",G - CHẢ LỤA 200G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8935101608409,CLD,"=""8935101608409""",JONGGA - KIM CHI CẢI THẢO CẮT LÁT 150G,Meat,Fix weight,8,4,4,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8938502525054,CLD,"=""8938502525054""",THỌ PHÁT - BÁNH BAO KHÔNG NHÂN 300G,Meat,Fix weight,6,4,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8935101607938,CLD,"=""8935101607938""",ĐỨC VIỆT - XÚC XÍCH PHÔ MAI CHEESY 250G,Meat,Fix weight,16,8,8,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8935058911645,CLD,"=""8935058911645""",CP - XÚC XÍCH COCKTAIL XÔNG KHÓI 250G,Meat,Fix weight,12,4,8,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8935304205849,CLD,"=""8935304205849""",O'FOOD - BÁNH GẠO CHẢ CÁ 340G,Meat,Fix weight,6,2,4,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8938532089991,CLD,"=""8938532089991""",VĨ LÂM - CẢI SẬY CHUA NGỌT CẮT SẴN 500G,Meat,Fix weight,8,6,2,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936210410815,CLD,"=""8936210410815""",KITKOOL - BÁNH GIÒ TÔM THỊT TRỨNG CÚT 150G,Meat,Fix weight,8,4,4,Đã tạo phiếu KFM (Lệch số lượng)
CLD_8936000750077,CLD,"=""8936000750077""",ICHIBAN - ĐẬU HŨ MỀM OME 330G,Meat,Fix weight,10,4,6,Đã tạo phiếu KFM (Lệch số lượng)
